Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"5x2mm Neodymium magnets","To attach the top panel to the main body of the assistant",8,5.89,"https://www.aliexpress.com/item/1005009997504404.html","Aliexpress"
"3D printed parts","The whole assistant's case",5,10.00,"https://printlegion.hackclub.com/","Printing legion"
"DAYTON DMA45-4","Speaker for the assistant",1,20.61,"https://www.reproobchod.cz/dayton-dma45-4/","Reproobchod.cz"
"M3 4mm screw","For mounting the PCB in the enclosure and attaching the back panel",2,2.48,"https://www.aliexpress.com/item/4000981220901.html","Aliexpress"
"M3 6mm screw","For mounting the PCB in the enclosure and attaching the back panel",2,2.45,"https://www.aliexpress.com/item/4000981220901.html","Aliexpress"
"M3 Heat Inserts","For mounting the PCB in the enclosure and attaching the back panel",4,2.79,"https://www.aliexpress.com/item/1005008666672949.html","Aliexpress"
"WS2812B LED strip 1m","LEDs for feedback and status indication of the assistant",1,8.17,"https://www.aliexpress.com/item/1005007995331885.html","Aliexpress"
"TTP223 Capacitive Touch Switch Button","Assistant control button",1,2.58,"https://www.aliexpress.com/item/1005006087171183.html","Aliexpress"
"INMP441 Microphone Module","Microphone",1,5.96,"https://www.aliexpress.com/item/1005007533809252.html","Aliexpress"
"USB-C connector","USB-C port for power and programming",1,3.12,"https://www.aliexpress.com/item/1005007144793925.html","Aliexpress"
"Stencil","Stencil for applying solder paste to a PCB",1,3.05,"https://jlcpcb.com/","JLCPCB"
"PCB","PCB",1,2.00,"https://jlcpcb.com/","JLCPCB"
"MPZ2012S601AT000","Ferrite filters for audio signals to the speaker 600Ω@100MHz",1,0.27,"https://www.lcsc.com/product-detail/C21519.html","LCSC"
"0805W8F3300T5E","Resistor for LEDs 330R",1,0.29,"https://www.lcsc.com/product-detail/C17630.html","LCSC"
"0805W8F0000T5E","Resistor for an amplifier 0R",1,0.21,"https://www.lcsc.com/product-detail/C17477.html","LCSC"
"0805W8F1004T5E","Resistor for an amplifier 1M",1,0.25,"https://www.lcsc.com/product-detail/C17514.html","LCSC"
"CL21A106KBYQNNE","Capacitors for an amplifier 10uF",1,0.24,"https://www.lcsc.com/product-detail/C2932476.html","LCSC"
"CL21B104KCFNNNE","Capacitor for an amplifier 100nF",1,0.49,"https://www.lcsc.com/product-detail/C28233.html","LCSC"
"0805B221K500NT","Capacitors for an amplifier 220pF",2,0.55,"https://www.lcsc.com/product-detail/C1727.html","LCSC"
"WJ500V-5.08-2P","Connector for connecting a speaker to a PCB",1,0.66,"https://www.lcsc.com/product-detail/C8465.html","LCSC"
"MAX98357AETE+T","Amplifier",1,1.41,"https://www.lcsc.com/product-detail/C910544.html","LCSC"
"2.54-1*20P","Pins for connecting additional components to the PCB",1,0.72,"https://www.lcsc.com/product-detail/C50981.html","LCSC"
"ESP32-S3-WROOM-1-N16R8","Microcontroller for the whole project",1,5.21,"https://www.lcsc.com/product-detail/C2913202.html?s_z=n_C2913202","LCSC"
"0805W8F5101T5E","Resistor for ESP32 5.1k",2,0.24,"https://www.lcsc.com/product-detail/C27834.html","LCSC"
"0805W8F1000T5E","Resistor for ESP32 100R",1,0.21,"https://www.lcsc.com/product-detail/C17408.html","LCSC"
"RC0805FR-0710KL","Resistor for ESP32 10k",1,0.31,"https://www.lcsc.com/product-detail/C84376.html","LCSC"
"TS-1088-AR02016","Boot and reset buttons for the ESP32",2,0.55,"https://www.lcsc.com/product-detail/C720477.html?s_z=n_TS-1088-AR02016","LCSC"
"CC0805KRX7R9BB104","Capacitor for ESP32 100nF",2,0.51,"https://www.lcsc.com/product-detail/C49678.html?s_z=n_CC0805KRX7R9BB104","LCSC"
"CL21B105KBFNNNE","Capacitor for ESP32 1uF",1,0.27,"https://www.lcsc.com/product-detail/C28323.html?s_z=n_CL21B105KBFNNNE","LCSC"
"CL21A226MAQNNNE","Capacitor for ESP32 22uF",1,0.64,"https://www.lcsc.com/product-detail/C45783.html?s_z=n_CL21A226MAQNNNE","LCSC"
"TAJA106K016RNJ","Capacitor for a voltage converter 10uF",1,0.25,"https://www.lcsc.com/product-detail/C7171.html?s_z=n_TAJA106K016RNJ%2520","LCSC"
"25TQC22MYFB","Capacitor for a voltage converter 22uF",1,0.80,"https://www.lcsc.com/product-detail/C3018703.html","LCSC"
"AMS1117-3.3","Voltage Converter for ESP32",1,0.45,"https://www.lcsc.com/product-detail/C347222.html?s_z=n_AMS1117","LCSC"
"Shipping","Total shipping cost",,"25.75",,"JLCPCB,LCSC,Reproobchod.cz"
"Tax","Total tax cost",,6.57",,"JLCPCB,LCSC"